%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.qp0,field.qp1,field.qp2,field.qp3,field.qp4,field.qp5,field.qpp0,field.qpp1,field.qpp2,field.qpp3,field.qpp4,field.qpp5,field.qd0,field.qd1,field.qd2,field.qd3,field.qd4,field.qd5,field.qpd0,field.qpd1,field.qpd2,field.qpd3,field.qpd4,field.qpd5,field.qppd0,field.qppd1,field.qppd2,field.qppd3,field.qppd4,field.qppd5,field.Dq0,field.Dq1,field.Dq2,field.Dq3,field.Dq4,field.Dq5,field.Dqp0,field.Dqp1,field.Dqp2,field.Dqp3,field.Dqp4,field.Dqp5,field.Xef_00,field.Xef_01,field.Xef_02,field.Xef_03,field.Xef_04,field.Xef_05,field.Xd_00,field.Xd_01,field.Xd_02,field.Xd_03,field.Xd_04,field.Xd_05,field.torques0,field.torques1,field.torques2,field.torques3,field.torques4,field.torques5
1455732150006225087,3465,1455732149975507405,,7.23694658279,1.57079632179,-0.78539815629,0.523598778703,-1.22173047522,0.698131700689,0.698128721477,2.31332686317e-08,-3.4828627625e-08,-1.57102056383e-08,-5.79983000283e-09,6.01708851181e-10,7.92196330068e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-5.00841768059e-09,7.10728376152e-09,3.10434244977e-09,1.17596199445e-09,-1.09214859378e-10,-2.97932027082e-06,2.31332686317e-08,-3.4828627625e-08,-1.57102056383e-08,-5.79983000283e-09,6.01708851181e-10,7.92196330068e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7493353209e-05,60.1875297988,31.1095751918,3.4035805817,-2.52754393543,-2.08801849143e-05
1455732150006248963,3466,1455732149977604176,,7.23904323578,1.57079632183,-0.785398156359,0.523598778671,-1.22173047523,0.69813170069,0.698128737279,2.29403316054e-08,-3.45057078555e-08,-1.55566422685e-08,-5.74688728368e-09,5.94838668192e-10,7.87965504493e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.9623440912e-09,7.03794944545e-09,3.07307557179e-09,1.1644152309e-09,-1.08018261002e-10,-2.96351865248e-06,2.29403316054e-08,-3.45057078555e-08,-1.55566422685e-08,-5.74688728368e-09,5.94838668192e-10,7.87965504493e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.73973196281e-05,60.1875298822,31.1095752849,3.40358067996,-2.52754393522,-2.07675458042e-05
1455732150006261323,3467,1455732149979700472,,7.24113965034,1.57079632188,-0.785398156428,0.52359877864,-1.22173047524,0.698131700691,0.698128752996,2.27486336548e-08,-3.41854797462e-08,-1.54044908925e-08,-5.69433941676e-09,5.88051541196e-10,7.83757577904e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.91665508306e-09,6.96925828159e-09,3.04211444924e-09,1.15297393855e-09,-1.0683531837e-10,-2.94780142163e-06,2.27486336548e-08,-3.41854797462e-08,-1.54044908925e-08,-5.69433941676e-09,5.88051541196e-10,7.83757577904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.73017693565e-05,60.1875299651,31.1095753775,3.40358077769,-2.52754393502,-2.06555303516e-05
1455732150006278180,3468,1455732149981789812,,7.24322891235,1.57079632192,-0.785398156496,0.52359877861,-1.22173047525,0.698131700692,0.69812876863,2.25581741226e-08,-3.38679266506e-08,-1.52537404618e-08,-5.64218479001e-09,5.81346799451e-10,7.7957242321e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.8713482137e-09,6.90120482982e-09,3.01145619552e-09,1.14163745124e-09,-1.05665920458e-10,-2.93216812164e-06,2.25581741226e-08,-3.38679266506e-08,-1.52537404618e-08,-5.64218479001e-09,5.81346799451e-10,7.7957242321e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.72067005935e-05,60.1875300476,31.1095754695,3.40358087488,-2.52754393482,-2.05441352632e-05
1455732150006300056,3469,1455732149983879598,,7.2453186512,1.57079632197,-0.785398156564,0.523598778579,-1.22173047527,0.698131700693,0.698128784179,2.23689523587e-08,-3.35530317894e-08,-1.5104379442e-08,-5.59042324835e-09,5.74726656574e-10,7.75409914074e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.8264210406e-09,6.83378387212e-09,2.98109803509e-09,1.13040488081e-09,-1.04509845222e-10,-2.91661829832e-06,2.23689523587e-08,-3.35530317894e-08,-1.5104379442e-08,-5.59042324835e-09,5.74726656574e-10,7.75409914074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.71121105235e-05,60.1875301297,31.1095755611,3.40358097154,-2.52754393461,-2.04333570287e-05
1455732150006322116,3470,1455732149985976849,,7.24741601944,1.57079632201,-0.78539815663,0.523598778549,-1.22173047528,0.698131700694,0.698128799646,2.21809677122e-08,-3.32407784722e-08,-1.49563961256e-08,-5.53905481986e-09,5.68191467249e-10,7.71269924892e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.7818711213e-09,6.7669900794e-09,2.95103730341e-09,1.11927533908e-09,-1.03366981641e-10,-2.90115149992e-06,2.21809677122e-08,-3.32407784722e-08,-1.49563961256e-08,-5.53905481986e-09,5.68191467249e-10,7.71269924892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70179960503e-05,60.1875302113,31.1095756522,3.40358106767,-2.52754393442,-2.03231917961e-05
1455732150006339976,3471,1455732149988066708,,7.24950575829,1.57079632206,-0.785398156697,0.52359877852,-1.22173047529,0.698131700695,0.69812881503,2.19942194399e-08,-3.29311500241e-08,-1.48097799211e-08,-5.48807772016e-09,5.61737393841e-10,7.67152330778e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.73769601328e-09,6.7008181226e-09,2.9212711139e-09,1.10824815991e-09,-1.02237107669e-10,-2.88576727736e-06,2.19942194399e-08,-3.29311500241e-08,-1.48097799211e-08,-5.48807772016e-09,5.61737393841e-10,7.67152330778e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69243550867e-05,60.1875302925,31.1095757428,3.40358116328,-2.52754393422,-2.02136357101e-05
1455732150006395136,3472,1455732149990157564,,7.25159668922,1.5707963221,-0.785398156762,0.52359877849,-1.2217304753,0.698131700697,0.698128830333,2.18087066657e-08,-3.26241295538e-08,-1.46645204094e-08,-5.43748991726e-09,5.55360515144e-10,7.63057007562e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.69389305202e-09,6.63526289468e-09,2.89179680202e-09,1.09732267717e-09,-1.01120001261e-10,-2.87046518399e-06,2.18087066657e-08,-3.26241295538e-08,-1.46645204094e-08,-5.43748991726e-09,5.55360515144e-10,7.63057007562e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6831186385e-05,60.1875303733,31.1095758329,3.40358125836,-2.52754393402,-2.01046852277e-05
1455732150006468310,3473,1455732149992231822,,7.25367093086,1.57079632214,-0.785398156827,0.523598778461,-1.22173047531,0.698131700698,0.698128845553,2.16244280094e-08,-3.23197004056e-08,-1.45206062232e-08,-5.38729114681e-09,5.49059767231e-10,7.58983831813e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.65046001707e-09,6.57031906659e-09,2.86261170324e-09,1.08649800268e-09,-1.00015551396e-10,-2.85524477561e-06,2.16244280094e-08,-3.23197004056e-08,-1.45206062232e-08,-5.38729114681e-09,5.49059767231e-10,7.58983831813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67384944527e-05,60.1875304536,31.1095759225,3.40358135293,-2.52754393383,-1.99963377893e-05
1455732150006492003,3474,1455732149994311696,,7.25575089455,1.57079632219,-0.785398156891,0.523598778432,-1.22173047532,0.698131700699,0.698128860692,2.14413819915e-08,-3.20178459287e-08,-1.43780260708e-08,-5.33748131903e-09,5.42836278273e-10,7.54932680816e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.60739424391e-09,6.50598153129e-09,2.83371304199e-09,1.07577324826e-09,-9.89236470517e-11,-2.84010561047e-06,2.14413819915e-08,-3.20178459287e-08,-1.43780260708e-08,-5.33748131903e-09,5.42836278273e-10,7.54932680816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66462714237e-05,60.1875305336,31.1095760116,3.40358144698,-2.52754393364,-1.98885890295e-05
1455732150006511163,3475,1455732149996398595,,7.25783777237,1.57079632223,-0.785398156955,0.523598778403,-1.22173047533,0.6981317007,0.69812887575,2.12595670688e-08,-3.17185492345e-08,-1.42367691519e-08,-5.28805863172e-09,5.36690642167e-10,7.50903432549e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.57079632679,-0.785398163397,0.523598775598,-1.2217304764,0.698131700798,0.698131700798,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.56469329002e-09,6.44224518176e-09,2.80509826478e-09,1.06514774778e-09,-9.78440661825e-11,-2.82504724936e-06,2.12595670688e-08,-3.17185492345e-08,-1.42367691519e-08,-5.28805863172e-09,5.36690642167e-10,7.50903432549e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.65545202291e-05,60.1875306131,31.1095761003,3.40358154051,-2.52754393345,-1.97814350917e-05
