%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587895374761451,67,1454587895374545667,,67,2.23130972417,-1.57276240737,0.00672832640584,-2.42422961928,-1.56707401597,0.462869210353,3.0,0.75,0.008,0.0
1454587895382816705,68,1454587895382606284,,68,2.23140114082,-1.57227347746,0.00734825676811,-2.42419053614,-1.56713023281,0.462803680847,3.0,0.75,0.008,0.0
1454587895390956199,69,1454587895390668865,,69,2.23149275381,-1.57177409957,0.00793048860029,-2.42411374704,-1.5671855721,0.462738321605,3.0,0.75,0.008,0.0
1454587895399135519,70,1454587895398901775,,70,2.23158448194,-1.57126500346,0.00847596844593,-2.42399989041,-1.56724003579,0.462673195502,3.0,0.75,0.008,0.0
1454587895407243240,71,1454587895406955771,,71,2.23167624453,-1.57074691969,0.00898565758445,-2.42384961725,-1.56729362609,0.462608364498,3.0,0.75,0.008,0.0
1454587895415220283,72,1454587895415009065,,72,2.23176796152,-1.57022057838,0.0094605292166,-2.42366358922,-1.56734634542,0.462543889573,3.0,0.75,0.008,0.0
1454587895423218551,73,1454587895423000332,,73,2.23183667157,-1.5698208418,0.00979442468801,-2.42350100722,-1.56738531496,0.46249580316,3.0,0.75,0.008,0.0
1454587895431412475,74,1454587895431181201,,74,2.23192811826,-1.56928180156,0.0102107338855,-2.42325402637,-1.56743651678,0.462432094976,3.0,0.75,0.008,0.0
1454587895439468671,75,1454587895439206912,,75,2.23201930302,-1.56873650071,0.0105949421663,-2.42297315163,-1.56748685574,0.462368905093,3.0,0.75,0.008,0.0
1454587895447540334,76,1454587895447302815,,76,2.23211014877,-1.56818565844,0.0109480449558,-2.4226590702,-1.56753633535,0.46230629036,3.0,0.75,0.008,0.0
1454587895455550945,77,1454587895455321069,,77,2.23220057943,-1.5676299887,0.0112710382663,-2.42231247265,-1.56758495943,0.462244306418,3.0,0.75,0.008,0.0
1454587895463688053,78,1454587895463466060,,78,2.23229051992,-1.56707019942,0.0115649167101,-2.42193405172,-1.5676327321,0.462183007656,3.0,0.75,0.008,0.0
1454587895471751576,79,1454587895471505102,,79,2.23237989626,-1.56650699164,0.0118306716411,-2.42152450112,-1.56767965785,0.462122447179,3.0,0.75,0.008,0.0
1454587895479811075,80,1454587895479577095,,80,2.23246863561,-1.56594105876,0.0120692894208,-2.42108451447,-1.56772574148,0.46206267677,3.0,0.75,0.008,0.0
1454587895487829935,81,1454587895487559130,,81,2.23253472896,-1.56551523321,0.0122310336753,-2.42073496753,-1.56775975465,0.462018397837,3.0,0.75,0.008,0.0
1454587895495941740,82,1454587895495682546,,82,2.23262218196,-1.56494617446,0.0124245141535,-2.42024338317,-1.56780437718,0.461960130577,3.0,0.75,0.008,0.0
1454587895503999349,83,1454587895503712011,,83,2.23270880399,-1.56437625246,0.0125935314655,-2.4197232621,-1.56784817262,0.461902788752,3.0,0.75,0.008,0.0
1454587895511946729,84,1454587895511715606,,84,2.23279452698,-1.56380612599,0.0127390398032,-2.41917528955,-1.56789114708,0.46184641895,3.0,0.75,0.008,0.0
1454587895519946906,85,1454587895519716915,,85,2.2328792842,-1.56323644316,0.0128619816924,-2.41860014669,-1.56793330705,0.461791066322,3.0,0.75,0.008,0.0
1454587895528091291,86,1454587895527891575,,86,2.23296301035,-1.56266784093,0.0129632868889,-2.41799851,-1.56797465937,0.461736774561,3.0,0.75,0.008,0.0
1454587895536220937,87,1454587895535965202,,87,2.23304564156,-1.5621009446,0.01304387137,-2.4173710507,-1.56801521123,0.461683585891,3.0,0.75,0.008,0.0
1454587895544297872,88,1454587895544084278,,88,2.23310685885,-1.56167726122,0.0130912545149,-2.4168839107,-1.56804510436,0.461644442855,3.0,0.75,0.008,0.0
1454587895552199059,89,1454587895552001310,,89,2.23318742477,-1.56111481828,0.0131377371423,-2.41621285942,-1.56808427381,0.461593281721,3.0,0.75,0.008,0.0
1454587895560293177,90,1454587895560118265,,90,2.2332667279,-1.56055573731,0.0131659397688,-2.41551780046,-1.56812266442,0.461543332107,3.0,0.75,0.008,0.0
1454587895568408556,91,1454587895568168995,,91,2.23334471012,-1.56000059624,0.0131767192332,-2.41479938131,-1.56816028469,0.46149463062,3.0,0.75,0.008,0.0
1454587895576409683,92,1454587895576227011,,92,2.23342131488,-1.5594499596,0.013170914986,-2.41405824237,-1.56819714349,0.461447212354,3.0,0.75,0.008,0.0
1454587895584500818,93,1454587895584266086,,93,2.23349648726,-1.55890437815,0.0131493485524,-2.41329501662,-1.56823324998,0.461401110886,3.0,0.75,0.008,0.0
1454587895592688523,94,1454587895592444184,,94,2.23357017398,-1.55836438865,0.0131128230662,-2.41251032941,-1.56826861368,0.461356358275,3.0,0.75,0.008,0.0
1454587895600733433,95,1454587895600504129,,95,2.23364232341,-1.55783051363,0.0130621228688,-2.41170479836,-1.56830324443,0.461312985063,3.0,0.75,0.008,0.0
