tag,dx_mm,dy_mm,dz_mm,err_norm_mm
prueba_5,1.0779425501823001,-1.344621181488,24.1773128509521,24.238655343651697
prueba_5,1.0557100176810998,-1.0986626148223,23.1772661209106,23.2272949069738
prueba_5,1.0779425501823001,-1.344621181488,24.1773128509521,24.238655343651697
prueba_5,1.0779425501823001,-1.344621181488,24.1773128509521,24.238655343651697
prueba_5,1.1446345597504999,-2.0825266838073,27.1773338317871,27.281031012535003
prueba_5,1.0112505406141,-0.6067156791687,21.177291870117102,21.210102364420802
prueba_5,1.0557100176810998,-1.0986626148223,23.1772661209106,23.2272949069738
prueba_5,1.0779425501823001,-1.344621181488,24.1773128509521,24.238655343651697
prueba_5,1.0557100176810998,-1.0986626148223,23.1772661209106,23.2272949069738
prueba_5,1.0112505406141,-0.6067156791687,21.177291870117102,21.210102364420802
prueba_6,0.28181268278902305,-2.412060071116347,27.052325880343563,27.161107998591675
prueba_6,-0.10605666452195717,-2.4706380380680146,26.05332444998937,26.170422526731432
prueba_6,0.41038147001695985,-2.88098299887545,29.88661600445359,30.027958508503442
prueba_6,0.465218342262033,-2.269173361425228,27.113411542026107,27.212178547434483
prueba_6,-0.368842770746123,-2.6495223208337277,26.562024665536214,26.69638866683436
prueba_6,-0.18168503457644075,-3.4144507908899286,26.715467967824907,26.933394000665356
prueba_6,0.23079388261474368,-2.7064586563988464,28.496596799695006,28.625761359995934
prueba_6,0.1027013491845285,-3.471866549262197,28.160556639860694,28.373955578484512
prueba_6,0.1890730688636828,-2.412606424369831,28.255788350699287,28.35923119028077
prueba_6,-0.052135119839086586,-2.947834363431799,28.292215531513808,28.44541975760915
prueba_7,2.567873287673386,1.009058506674457,7.066046666642386,7.585590800102954
prueba_7,1.2542873426683052,0.8907530697288705,7.876036250799954,8.02487537555097
prueba_7,1.1997306787008668,0.17615242434156464,2.932225506246749,3.173063156872465
prueba_7,1.0442849034545265,0.7068841335598118,5.624904113621065,5.764526209958007
prueba_7,1.7813556164912299,0.6386113311563167,5.268160350425121,5.597728623511275
prueba_7,2.0458154533678963,0.6989186285638338,4.86927114384893,5.327630767133952
prueba_7,1.405061217656981,1.0848394172927742,5.730314060662958,5.99896431232154
prueba_7,1.0306834631863728,0.7018197749283532,9.92049485717228,9.998553775869187
prueba_7,1.038764427425952,0.9710182895224369,4.332022370321306,4.559421659732391
prueba_7,1.7991996167888615,0.6095778623373043,8.673766706050607,8.879354329133223
prueba_8,1.0005290606216646,-1.734450043834213,24.35962150650181,24.441778480620645
prueba_8,1.05185298875822,-1.674461726746232,22.443607735909666,22.53055136892308
prueba_8,1.0708003410847506,-1.5843797204372279,22.955489782387044,23.035003442983808
prueba_8,1.086923747765892,-0.9876046982119051,22.923489376151174,22.97048391853997
prueba_8,1.0916832297282848,-1.1370435271523662,21.529166927479505,21.586793852908922
prueba_8,1.094809937684595,-0.9061630511353571,24.41134070995367,24.452674608973496
prueba_8,1.051326035215974,-1.3770313164140486,22.773345361530986,22.83914973536171
prueba_8,1.0469997476454054,-1.1302552189461679,23.598695570284576,23.648934816403326
prueba_8,1.0972706450526866,-0.9335012800197353,24.400677665449347,24.443168739781907
prueba_8,1.0573197611651917,-1.3273611398001213,24.342076371725458,24.401157652040133
prueba_9,0.38584477151314844,-3.1370695244145796,28.299470684020083,28.475430152754967
prueba_9,0.16551181456347439,-2.170019273949864,27.903371844814863,27.988114229438196
prueba_9,0.07182189986252531,-3.1244445419123705,26.22808491911358,26.41362812271383
prueba_9,0.17092509911994327,-2.4938581901964767,24.512476142395386,24.63960289237272
prueba_9,-0.2927801921788269,-3.4573008039086233,27.56986716685413,27.787339287661585
prueba_9,-0.22348990196361984,-3.037490019359071,26.35829446403311,26.533676345479613
prueba_9,-0.18760391083449834,-3.4667582626989697,27.89318302560177,28.10841986627976
prueba_9,-0.09372940509495142,-3.1145105772297144,27.468616451868854,27.644779816756284
prueba_9,0.30923123044564055,-2.43459616460488,30.650340903332136,30.74843540619696
prueba_9,-0.06725965382665966,-3.9148867241810743,26.942585001065332,27.225608321281502
prueba_10,3.4316747486251415,-0.78545819278494,33.547686404803045,33.73189290964815
prueba_10,5.407248084984082,-1.0094737173889339,28.592362581387825,29.116671633691404
prueba_10,5.474133033457672,-0.5527977167224183,24.559806027675307,25.168547631928277
prueba_10,7.345271570070079,-0.747416837661541,33.029906414735706,33.845034556541655
prueba_10,6.484468149463449,-1.0308384752064885,29.21567321837356,29.944390405319027
prueba_10,5.698951297045262,-0.9275043912769926,30.618971116066206,31.158621639739273
prueba_10,7.516282575752507,-0.6258075765239991,29.92456617072234,30.860424484885744
prueba_10,3.1602235250911934,-0.5067233625279501,31.58807091599275,31.74980323542901
prueba_10,4.061983381962599,-0.24372652723387173,35.84744773701509,36.0776748263167
prueba_10,3.5908698851901653,-0.035542683415038745,32.6393145595296,32.8362675213038
